original_title,genres,popularity,vote_average,vote_count,runtime,release_year
Daddy's Home,Comedy,1.904898,5.7,568,96,2015
Mythica: The Necromancer,Fantasy|Action|Adventure,1.876037,5.4,11,0,2015
Vice,Thriller|Science Fiction|Action|Adventure,1.872696,4.1,181,96,2015
The Little Prince,Adventure|Animation|Fantasy,1.865007,7.5,423,92,2015
Alvin and the Chipmunks: The Road Chip,Adventure|Animation|Comedy|Family,1.841779,5.7,278,92,2015
The Dressmaker,Drama,1.82313,6.9,197,118,2015
The DUFF,Romance|Comedy,1.758618,6.8,753,100,2015
Sinister 2,Horror,1.742286,5.5,331,97,2015
Paul Blart: Mall Cop 2,Action|Adventure|Comedy|Family,1.73518,5.3,422,94,2015
Frozen Fever,Adventure|Animation|Family,1.724712,7.0,475,8,2015
High-Rise,Action|Drama|Science Fiction,1.661789,5.4,161,119,2015
The Boy Next Door,Thriller,1.651078,3.9,810,91,2015
Spooks: The Greater Good,Thriller|Action,1.646664,5.6,114,104,2015
Entourage,Comedy,1.532997,6.2,364,104,2015
The Wedding Ringer,Comedy,1.510096,6.5,446,101,2015
Scouts Guide to the Zombie Apocalypse,Comedy|Horror,1.499614,6.2,288,93,2015
The Visit,Horror|Thriller,1.495112,5.9,729,94,2015
Black Mass,Crime|Drama,1.483246,6.3,848,122,2015
Heist,Crime|Action|Thriller,1.449072,5.4,233,93,2015
Krampus,Horror|Comedy|Fantasy,1.448002,5.9,342,98,2015
Dark Places,Drama|Mystery|Thriller,1.443406,5.7,322,113,2015
No Escape,Action|Thriller,1.41239,6.7,519,103,2015
Dope,Crime|Drama|Comedy,1.40805,7.3,448,103,2015
American Ultra,Comedy|Action,1.388251,5.9,695,96,2015
Woman in Gold,Drama,1.388032,7.3,277,120,2015
The Scorpion King: The Lost Throne,Action|Fantasy|Adventure,1.38032,4.5,22,105,2015
Sisters,Comedy,1.376605,5.9,399,118,2015
Project Almanac,Science Fiction|Thriller,1.360926,6.3,637,106,2015
Absolutely Anything,Comedy|Science Fiction,1.360827,5.8,199,85,2015
The Transporter Refueled,Thriller|Action|Crime,1.355822,5.3,407,96,2015
Crimson Peak,Mystery|Thriller|Fantasy|Horror|Drama,1.345982,6.4,819,119,2015
Everly,Thriller|Action,1.342839,5.1,169,90,2015
Magic Mike XXL,Comedy|Drama|Music,1.338481,6.3,501,115,2015
Paranormal Activity: The Ghost Dimension,Horror|Thriller,1.338322,5.0,267,88,2015
Slow West,Romance|Thriller|Western,1.329702,6.6,229,84,2015
Trumbo,Drama,1.316239,7.2,273,124,2015
Secret in Their Eyes,Crime|Drama|Mystery,1.315266,6.2,202,111,2015
Mistress America,Comedy,1.29314,6.4,132,84,2015
The SpongeBob Movie: Sponge Out of Water,Family|Animation,1.291013,5.7,533,93,2015
True Story,Crime|Drama|Mystery,1.284541,6.0,354,100,2015
Max,Adventure|Drama|Family,1.278928,7.0,214,111,2015
Shaun the Sheep Movie,Family|Animation|Comedy|Adventure,1.25358,6.9,340,85,2015
Louder Than Bombs,Drama,1.251681,6.3,43,109,2015
A Perfect Day,Comedy|Drama,1.245224,6.3,102,106,2015
The Gunman,Action|Drama|Crime,1.225325,5.6,283,115,2015
Unfriended,Horror|Thriller,1.191138,5.6,643,82,2015
Hot Pursuit,Action|Crime|Comedy,1.178831,5.5,472,87,2015
Insidious: Chapter 3,Drama|Horror|Thriller,1.164724,6.3,610,97,2015
Z for Zachariah,Drama|Science Fiction|Thriller,1.161812,5.5,181,97,2015
Dragonheart 3: The Sorcerer's Curse,Action|Adventure|Fantasy,1.144808,4.5,59,97,2015
The Lady in the Van,Comedy|Drama,1.142518,5.9,135,104,2015
Victor Frankenstein,Drama|Science Fiction|Thriller,1.138395,5.5,408,109,2015
Brothers of the Wind,Adventure|Drama|Family,1.128081,7.5,11,98,2015
Anomalisa,Animation|Comedy|Drama|Romance,1.125239,6.7,259,90,2015
Bone Tomahawk,Horror|Western|Adventure|Drama,1.073349,6.3,220,132,2015
Regression,Horror|Mystery|Thriller,1.065888,5.2,310,106,2015
Pawn Sacrifice,Drama,1.063055,6.6,148,114,2015
The Man Who Knew Infinity,Drama,1.046518,7.1,104,108,2015
Momentum,Thriller|Action,1.041922,5.8,100,96,2015
The Diary of a Teenage Girl,Drama|Romance,1.03839,6.8,186,102,2015
Pay the Ghost,Horror|Thriller,1.036825,5.3,114,94,2015
The Voices,Horror|Thriller|Comedy|Crime,1.02762,6.0,371,101,2015
Last Knights,Action|Adventure,1.021441,6.3,237,115,2015
Il racconto dei racconti,Romance|Fantasy|Horror,1.008474,5.7,211,125,2015
Irrational Man,Mystery|Drama,1.007054,6.1,319,95,2015
Queen of the Desert,Drama|History,0.973316,6.0,30,128,2015
Ricki and the Flash,Comedy|Drama|Music,0.956096,5.5,152,100,2015
Miss You Already,Comedy|Drama|Romance,0.953647,7.2,139,112,2015
Kung Fury,Action|Comedy|Science Fiction|Fantasy,0.953046,7.7,487,31,2015
The Perfect Guy,Drama|Thriller,0.950793,5.6,122,100,2015
A Bigger Splash,Crime|Drama|Mystery|Thriller,0.938432,5.8,69,120,2015
While We're Young,Drama|Comedy,0.93762,5.9,265,97,2015
Get Hard,Comedy,0.927339,5.9,661,100,2015
Kidnapping Mr. Heineken,Drama|Action|Crime|Thriller,0.91704,5.8,131,95,2015
The Ridiculous 6,Comedy|Western,0.913085,4.8,252,119,2015
Kill Me Three Times,Comedy|Thriller,0.90686,5.1,96,90,2015
The 33,History|Drama,0.906036,5.8,262,120,2015
Suffragette,Drama|History,0.898296,7.1,231,106,2015
45 Years,Drama,0.894477,6.0,167,95,2015
We Are Your Friends,Drama|Music|Romance,0.880938,6.2,412,96,2015
Barely Lethal,Adventure|Action|Comedy,0.880268,5.5,215,96,2015
Macbeth,History|Drama|War,0.874641,6.4,269,113,2015
Extraction,Action|Thriller,0.872149,4.2,57,83,2015
Jenny's Wedding,Comedy|Drama,0.861179,5.2,92,94,2015
Descendants,Music|Action|Adventure|Comedy|Family,0.848748,6.7,262,112,2015
Tumbledown,Music|Romance|Comedy,0.843174,6.6,22,105,2015
Far from the Madding Crowd,Romance|Drama,0.842202,6.9,220,119,2015
The End of the Tour,Drama,0.836941,7.3,126,106,2015
The Second Best Exotic Marigold Hotel,Drama|Comedy,0.832487,6.4,196,122,2015
Little Boy,Comedy|Drama|War,0.829111,7.1,113,106,2015
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,Action|Adventure|Animation|Family,0.821443,6.4,14,48,2015
Remember,Drama|Thriller,0.820691,7.7,75,94,2015
Aloha,Adventure|Comedy|Romance,0.814206,5.2,469,105,2015
Accidental Love,Romance|Comedy,0.813893,3.6,64,100,2015
Halo: The Fall of Reach,Action|Animation|Science Fiction,0.810667,5.3,32,67,2015
Our Brand Is Crisis,Drama|Comedy,0.795762,5.7,122,108,2015
Into the Forest,Drama|Science Fiction,0.792471,5.1,57,101,2015
The Invitation,Thriller,0.787969,6.4,192,100,2015
The Benefactor,Drama,0.781809,4.5,55,90,2015
Open Season: Scared Silly,Animation|Comedy|Family|Adventure,0.773909,5.6,33,85,2015
Cop Car,Thriller,0.77107,5.5,174,86,2015
Mojave,Thriller,0.768138,4.3,17,93,2015
Sleeping with Other People,Comedy,0.758133,6.2,197,100,2015
Forsaken,Western|Drama,0.747541,5.6,53,90,2015
Amy,Documentary|Music,0.738404,7.5,345,128,2015
Madame Bovary,Drama,0.7299,5.3,52,118,2015
The Hallow,Fantasy|Horror,0.719407,4.9,122,97,2015
Barbie in Princess Power,Family|Animation,0.714131,5.5,13,74,2015
Howl,Horror,0.707355,4.9,62,89,2015
Freeheld,Romance|Drama,0.706023,7.1,86,103,2015
Man Up,Romance|Comedy,0.70137,6.5,264,88,2015
Love,Drama|Romance,0.699932,4.7,307,134,2015
Truth,Drama,0.69957,6.4,89,121,2015
Return to Sender,Thriller,0.696184,5.0,88,95,2015
Danny Collins,Comedy|Drama|Music,0.690479,6.6,114,107,2015
Rock the Kasbah,Comedy|Music|War,0.689579,5.1,56,100,2015
Fathers and Daughters,Drama,0.689571,7.0,142,116,2015
"Hello, My Name Is Doris",Comedy|Drama|Romance,0.673792,6.6,87,95,2015
The Vatican Tapes,Thriller|Horror,0.669351,4.5,164,91,2015
99 Homes,Drama,0.661471,6.8,121,112,2015
Hot Tub Time Machine 2,Comedy,0.661163,5.0,244,93,2015
Knight of Cups,Romance|Drama,0.654335,5.7,101,118,2015
Manglehorn,Drama,0.654046,5.0,35,97,2015
Mississippi Grind,Drama,0.649628,5.7,74,108,2015
400 Days,Mystery|Science Fiction|Thriller,0.644786,4.2,98,91,2015
Lava,Animation|Comedy|Family|Fantasy|Music,0.640151,7.3,298,7,2015
Air,Thriller|Science Fiction,0.638557,4.7,135,94,2015
Riot,Action,0.633608,5.0,11,88,2015
Septembers of Shiraz,Drama|Thriller,0.629561,5.9,14,110,2015
Every Thing Will Be Fine,Drama,0.607124,5.1,44,118,2015
Extinction,Drama|Horror|Science Fiction,0.606113,5.3,135,110,2015
The Childhood of a Leader,Mystery|Drama|Horror,0.604928,3.6,25,116,2015
A Walk in the Woods,Drama|Adventure|Comedy,0.602165,5.4,171,104,2015
Clown,Horror,0.599751,5.2,182,100,2015
The Lazarus Effect,Thriller|Horror,0.599655,4.9,327,83,2015
Batman vs. Robin,Action|Adventure|Animation,0.589472,6.8,142,72,2015
Careful What You Wish For,Thriller,0.586735,5.4,57,91,2015
Racing Extinction,Adventure|Documentary,0.584363,7.8,36,90,2015
Unfinished Business,Comedy,0.577814,4.9,241,90,2015
Lost River,Fantasy|Thriller,0.570744,5.7,129,95,2015
Cobain: Montage of Heck,Music|Documentary,0.569443,7.5,197,132,2015
Hyena Road,War|Drama,0.561032,5.7,29,120,2015
Criminal Activities,Thriller|Crime|Drama,0.560744,5.9,67,94,2015
Life,Drama,0.560423,5.9,75,112,2015
"McFarland, USA",Drama,0.553238,7.4,139,128,2015
Backtrack,Horror|Mystery,0.548587,5.4,52,90,2015
X+Y,Drama,0.547827,6.0,133,111,2015
Home Sweet Hell,Drama|Comedy,0.546458,4.9,136,98,2015
Ooops! Noah is Gone...,Animation|Adventure|Comedy,0.542568,5.7,50,85,2015
The Unspoken,Thriller|Horror,0.5327,4.1,10,90,2015
Hot Girls Wanted,Documentary,0.532239,5.9,158,84,2015
The Gallows,Horror|Thriller,0.532205,5.0,247,87,2015
Dirty Weekend,Drama|Comedy,0.52985,4.8,12,93,2015
I Spit on Your Grave III: Vengeance is Mine,Horror|Thriller,0.527957,5.0,100,91,2015
Experimenter,History|Drama,0.526642,6.9,94,97,2015
By the Sea,Drama|Romance,0.524315,5.4,82,122,2015
Woodlawn,Drama,0.52025,6.8,32,123,2015
The Hollow,Horror|TV Movie,0.516954,5.1,19,90,2015
Visions,Thriller|Horror,0.515401,5.5,67,80,2015
Beyond the Mask,Action,0.514735,6.2,13,103,2015
I Am Here,Drama|Thriller,0.513386,4.0,18,97,2015
Wild Horses,Crime|Drama,0.50732,4.1,16,100,2015
Pressure,Drama|Thriller,0.504828,5.0,29,91,2015
Hidden,Thriller|Horror,0.502489,6.5,96,83,2015
Hell & Back,Fantasy|Comedy|Animation,0.497265,4.3,47,86,2015
Robot Overlords,Adventure|Science Fiction|Action,0.486351,4.9,63,90,2015
The Man with the Iron Fists 2,Action,0.482422,4.7,43,90,2015
LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,Action|Adventure|Animation|Family,0.47784,6.8,17,67,2015
Crown for Christmas,TV Movie,0.476341,7.6,10,84,2015
Spare Parts,Action|Drama|Family,0.475473,6.6,38,83,2015
The World Made Straight,Drama,0.474788,5.8,13,119,2015
Last Shift,Horror|Thriller,0.474626,5.6,77,88,2015
Frankenstein,Horror|Thriller,0.473344,4.5,14,89,2015
Cartel Land,Drama|Documentary,0.471393,7.5,112,100,2015
Superfast!,Comedy,0.471091,4.4,60,99,2015
Moonwalkers,Comedy,0.470991,6.0,53,107,2015
Chi-Raq,Music|Drama|Crime|Comedy,0.470124,5.9,33,127,2015
Bad Asses on the Bayou,Comedy|Action,0.467556,5.8,24,85,2015
Strange Magic,Music|Animation|Family|Fantasy,0.465707,6.1,68,99,2015
Black or White,Drama,0.46209,6.7,72,121,2015
Dead Rising,Horror|Science Fiction,0.459597,4.9,82,118,2015
Deathgasm,Comedy|Horror,0.454151,6.5,83,86,2015
Justice League: Gods and Monsters,Action|Animation|Fantasy,0.452939,6.9,99,76,2015
I Saw the Light,Drama|Music,0.450872,5.6,19,123,2015
Good Kill,Action|Drama|Thriller,0.45016,5.7,132,104,2015
Southbound,Fantasy|Thriller|Horror|Science Fiction,0.444265,6.0,73,89,2015
Star Trek: Renegades,Action|Science Fiction|Adventure|Fantasy,0.444193,4.1,31,88,2015
The Boy,Thriller|Drama|Horror,0.443525,6.1,22,110,2015
Riley's First Date?,Animation|Family,0.442835,7.3,137,5,2015
The Program,Drama,0.442427,5.9,107,103,2015
Lila & Eve,Thriller|Drama,0.442067,5.2,78,94,2015
The Final Girls,Horror|Comedy,0.441882,6.6,211,91,2015
He Never Died,Thriller|Horror|Comedy|Drama,0.441402,6.3,65,99,2015
A Very Murray Christmas,Comedy|Music,0.439598,5.4,101,56,2015
Kill Your Friends,Thriller|Comedy|Crime,0.438409,5.5,54,100,2015
Battle For SkyArk,Family|Science Fiction|Action|Adventure,0.437088,3.5,18,88,2015
Jem and the Holograms,Drama|Music|Adventure|Fantasy,0.435582,5.7,69,119,2015
The Adderall Diaries,Thriller|Action|Drama,0.433073,4.8,23,105,2015
Grizzly,Action|Horror|Thriller,0.429892,5.0,35,94,2015
Where to Invade Next,Documentary,0.427116,7.2,67,120,2015
Beasts of No Nation,Drama|War,0.424813,7.5,306,137,2015
A Christmas Horror Story,Horror,0.423161,5.6,56,99,2015
Sunset Song,Drama,0.42179,7.1,19,135,2015
Synchronicity,Thriller|Mystery|Science Fiction,0.429756,5.3,45,101,2015
12 Gifts of Christmas,Family|TV Movie,0.417191,6.3,12,84,2015
The Pack,Thriller|Horror,0.415041,5.5,15,90,2015
Demonic,Thriller|Horror,0.414913,5.0,91,83,2015
The Girl in the Photographs,Crime|Horror|Thriller,0.370258,4.7,10,95,2015
The Legend of Barney Thomson,Thriller|Drama|Comedy,0.412877,5.7,21,96,2015
The Duke of Burgundy,Drama,0.412503,5.8,58,101,2015
88,Thriller|Action,0.409698,4.4,20,88,2015
The Girl in the Book,Drama,0.405095,6.2,23,86,2015
Avengers Grimm,Fantasy|Action|Adventure,0.404511,3.8,23,90,2015
The D Train,Drama|Comedy,0.402236,4.2,47,101,2015
The Lion Guard: Return of the Roar,Family|TV Movie|Animation,0.250209,5.9,48,44,2015
A Royal Night Out,Thriller|Romance|Drama,0.399947,6.2,42,97,2015
Parallels,Science Fiction|Action,0.398982,6.1,92,83,2015
Born to Be Blue,Drama|Music,0.396791,6.8,16,97,2015
The Marine 4: Moving Target,Thriller|Action,0.394466,5.7,35,90,2015
Tales of Halloween,Horror,0.393642,5.3,74,90,2015
Blunt Force Trauma,Adventure|Action,0.393566,4.4,23,92,2015
Operator,Thriller|Action|Drama,0.391326,5.4,16,88,2015
The Human Centipede 3 (Final Sequence),Horror,0.386529,3.5,75,103,2015
Spring,Horror|Romance|Science Fiction,0.383406,6.5,110,109,2015
The Intruders,Thriller,0.383183,4.9,26,92,2015
We Are Still Here,Horror,0.382997,5.5,91,84,2015
Monster High: Haunted,Animation|Family|Fantasy,0.71289,7.0,11,75,2015
3-Headed Shark Attack,Science Fiction|Action|Horror,0.378836,3.8,15,90,2015
Navy Seals vs. Zombies,Horror|Action,0.37668,3.3,24,97,2015
Wrecker,Thriller|Action|Horror,0.411416,3.6,12,83,2015
The Escort,Comedy|Romance,0.374853,5.9,41,88,2015
Martyrs,Drama|Horror|Thriller,0.372889,5.0,43,86,2015
Uncanny,Thriller|Drama|Science Fiction,0.371145,6.1,21,91,2015
Bad Hair Day,TV Movie|Adventure|Comedy,0.370148,6.5,21,90,2015
Area 51,Horror|Thriller|Science Fiction,0.369529,4.4,82,91,2015
San Andreas Quake,TV Movie|Action|Science Fiction,0.369108,3.7,60,90,2015
The Runner,Drama,0.36817,4.8,35,90,2015
Advantageous,Science Fiction|Drama|Family,0.367617,6.4,29,92,2015
Partisan,Thriller|Drama,0.367434,5.8,16,98,2015
R.L. Stine's Monsterville: The Cabinet of Souls,Comedy|Horror,0.36603,7.2,22,85,2015
Strangerland,Drama|Thriller,0.365901,5.0,48,111,2015
Ashby,Drama|Romance|Comedy,0.329164,5.9,104,102,2015
Beautiful & Twisted,Crime|Drama|Thriller,0.359826,5.4,21,90,2015
Ronaldo,Documentary,0.357654,6.5,80,0,2015
Going Clear: Scientology and the Prison of Belief,Documentary,0.357614,7.8,186,119,2015
Zipper,Thriller|Drama,0.357567,5.5,30,103,2015
War Pigs,War|Action,0.356519,4.9,26,92,2015
Turbo Kid,Adventure|Action|Comedy|Science Fiction,0.354624,6.6,136,95,2015
Barbie in Rock 'N Royals,Animation|Music|Family,0.350858,6.3,17,84,2015
Circle,Drama|Horror|Science Fiction|Thriller,0.350599,6.1,167,87,2015
Monkey Kingdom,Animation|Documentary,0.348306,6.3,39,81,2015
Joe Dirt 2: Beautiful Loser,Comedy,0.347797,4.2,23,107,2015
Minions: The Competition,Animation,0.344994,5.9,16,4,2015
I'll See You in My Dreams,Drama|Comedy,0.344549,6.2,39,92,2015
Jesse Stone: Lost in Paradise,Drama|TV Movie|Crime|Mystery,0.34253,5.6,10,87,2015
Steve Jobs: The Man in the Machine,Documentary,0.574031,6.2,110,129,2015
Babysitter's Black Book,Drama|TV Movie,0.339297,5.9,18,88,2015
The Ones Below,Thriller,0.511431,5.9,33,87,2015
Tremors 5: Bloodlines,Science Fiction|Action|Horror,0.336453,5.1,47,99,2015
Captive,Crime|Drama|Thriller,0.336107,5.7,55,97,2015
Terminus,Science Fiction|Thriller|Fantasy,0.335941,4.6,39,94,2015
Andron,Action|Science Fiction,0.333656,4.7,24,100,2015
How to Plan an Orgy in a Small Town,Comedy,0.332921,4.7,17,101,2015
Freaks of Nature,Science Fiction|Comedy|Horror,0.330968,5.6,78,92,2015
Reversal,Thriller|Horror,0.330484,5.4,54,80,2015
Batman Unlimited: Monster Mayhem,Action|Animation|Family,0.329776,6.1,30,81,2015
The Lovers,Action|Adventure|Science Fiction|Romance,0.329109,4.6,22,109,2015
Holding the Man,Drama,0.327373,7.9,43,128,2015
Harbinger Down,Science Fiction|Horror,0.327066,4.2,32,82,2015
Batman Unlimited: Animal Instincts,Action|Animation|Family,0.32705,5.8,39,78,2015
Entertainment,Drama|Comedy,0.324666,4.0,11,113,2015
Meadowland,Drama,0.324515,6.4,17,105,2015
The Stanford Prison Experiment,Thriller|Drama,0.324,6.8,135,122,2015
The Girl King,Drama|History|Romance,0.390188,6.1,12,106,2015
Bessie,Drama|Music|TV Movie,0.322653,5.9,21,107,2015
The Atticus Institute,Horror,0.32264,5.3,92,92,2015
The Hoarder,Thriller|Horror,0.30035,4.2,24,86,2015
I Smile Back,Drama,0.318459,5.7,25,85,2015
Oddball,Family|Adventure,0.315196,6.1,15,95,2015
Meru,Adventure|Documentary,0.314199,6.9,42,89,2015
Sanjay's Super Team,Animation,0.422901,6.9,47,7,2015
Learning to Drive,Romance|Comedy|Drama,0.307395,5.9,44,105,2015
Christmas Eve,Romance|Comedy,0.305916,5.8,11,95,2015
The Sisterhood of Night,Mystery|Drama|Thriller,0.302474,6.6,25,104,2015
Sharknado 3: Oh Hell No!,TV Movie|Horror|Science Fiction,0.301343,4.5,68,88,2015
12 Rounds 3: Lockdown,Action|Thriller,0.300128,4.5,18,90,2015
Hitting the Apex,Documentary,0.198522,8.0,14,138,2015
Club Life,Drama,0.299427,6.3,12,90,2015
Cleveland Abduction,Drama|Crime,0.298861,6.3,33,88,2015
90 Minutes in Heaven,Drama,0.298751,5.7,24,121,2015
Lavalantula,Horror|Science Fiction|TV Movie,0.298628,5.6,16,83,2015
Unexpected,Drama|Comedy,0.295946,5.7,22,90,2015
Justice League: Throne of Atlantis,Science Fiction|Action|Animation|Adventure,0.404363,6.5,142,72,2015
Lady Chatterley's Lover,Romance|Drama,0.26501,6.3,15,89,2015
The Wicked Within,Horror,0.292437,4.1,17,91,2015
Bridgend,Drama,0.291244,5.7,10,95,2015
Backcountry,Drama|Horror|Thriller,0.290424,5.8,75,92,2015
Walter,Drama|Comedy,0.289526,5.2,12,87,2015
Ratter,Drama|Thriller|Horror,0.288598,5.2,57,80,2015
An Inspector Calls,Drama|Thriller|Mystery,0.309811,7.8,16,86,2015
The Survivalist,Drama|Science Fiction|Thriller,0.286266,6.4,44,104,2015
Don't Grow Up,Horror,0.28337,3.9,15,81,2015
Night Of The Living Deb,Comedy|Horror,0.283194,5.7,13,85,2015
No Stranger Than Love,Romance|Comedy,0.282237,4.1,13,89,2015
The Hive,Horror|Science Fiction|Thriller,0.280878,5.5,15,89,2015
Back in Time,History|Documentary|Family,0.278583,5.8,69,95,2015
Nina Forever,Horror|Comedy|Romance,0.277844,4.8,27,98,2015
